Bokaro|Bermo|Armo|Bermo|689 hectares
Bokaro|Bermo|Garnke|Armo|825312
Bokaro|Bermo|Lukubad|Armo|825312
Bokaro|Chandankiyari|Adarkunri|Adrakudi|827013
Bokaro|Chandankiyari|Agardi|Kalikapur|827013
Bokaro|Chandankiyari|Aluara|Batbinor|N/A
Bokaro|Chandankiyari|Amainagar|Amainagar|N/A
Bokaro|Chandankiyari|Amdiha|Amainagar|N/A
Bokaro|Chandankiyari|Arita|Adita|828134
Bokaro|Chandankiyari|Asanbani|Sabra|N/A
Bokaro|Chandankiyari|Asanshol|Devgram|N/A
Bokaro|Chandankiyari|Babuigor|Bagula|N/A
Bokaro|Chandankiyari|Bangaria|Badajor|N/A
Bokaro|Chandankiyari|Banshara|Shiv Babudih|N/A
Bokaro|Chandankiyari|Banshgari|Bagula|N/A
Bokaro|Chandankiyari|Banshtora|Bastora|828134
Bokaro|Chandankiyari|Barajor|Badajor|N/A
Bokaro|Chandankiyari|Baramesya|Boriyadih|828134
Bokaro|Chandankiyari|Barda|Gamhariya|828134
Bokaro|Chandankiyari|Barishabad|Lalpur|N/A
Bokaro|Chandankiyari|Barkama|Saharjori|828134
Bokaro|Chandankiyari|Batbinor|Batbinor|828134
Bokaro|Chandankiyari|Batboa|Fusro|N/A
Bokaro|Chandankiyari|Bharajuri|Boriyadih|828134
Bokaro|Chandankiyari|Bhuski|Madra|N/A
Bokaro|Chandankiyari|Bindabanpur|Kumirdoba|N/A
Bokaro|Chandankiyari|Birajdi|Silfor|N/A
Bokaro|Chandankiyari|Birkham|Chandankiyari East|N/A
Bokaro|Chandankiyari|Bodma|Bastora|N/A
Bokaro|Chandankiyari|Bogla|Bagula|N/A
Bokaro|Chandankiyari|Boryadi|Boriyadih|828134
Bokaro|Chandankiyari|Chakparbad|Shiv Babudih|N/A
Bokaro|Chandankiyari|Chakpendra|Lalpur|N/A
Bokaro|Chandankiyari|Chandankiari|Chandankiyari West|828134
Bokaro|Chandankiyari|Chandipur|Kusumkiyari|828134
Bokaro|Chandankiyari|Chandra|Chandra|828134
Bokaro|Chandankiyari|Chhatatanr|Bhojudih West|828303
Bokaro|Chandankiyari|Chirda|Gamhariya|828134
Bokaro|Chandankiyari|Damodarpur|Bhojudih East|N/A
Bokaro|Chandankiyari|Damudi|Damudih|828134
Bokaro|Chandankiyari|Darida|Lalpur|N/A
Bokaro|Chandankiyari|Debgram|Devgram|N/A
Bokaro|Chandankiyari|Dhekbera|Shiv Babudih|N/A
Bokaro|Chandankiyari|Diborda|Nayawon|N/A
Bokaro|Chandankiyari|Fatepur|Silfor|N/A
Bokaro|Chandankiyari|Galgaltanr|Bagula|828134
Bokaro|Chandankiyari|Gamarya|Gamhariya|828134
Bokaro|Chandankiyari|Gangudi|Kusumkiyari|N/A
Bokaro|Chandankiyari|Ghaghri|Lanka|828134
Bokaro|Chandankiyari|Ghoragara|Kherabera|828134
Bokaro|Chandankiyari|Gopinathpur Alias Gosaindi|Damudih|N/A
Bokaro|Chandankiyari|Gorigram|Bhojudih West|N/A
Bokaro|Chandankiyari|Gundlibhitha|Bhojudih West|828303
Bokaro|Chandankiyari|Gurri|Simuliya|828134
Bokaro|Chandankiyari|Jagidi|Devgram|828134
Bokaro|Chandankiyari|Jashpur|Kherabera|828134
Bokaro|Chandankiyari|Jhabra|Lalpur|N/A
Bokaro|Chandankiyari|Jhalbarda|Jhalbarda|828134
Bokaro|Chandankiyari|Jharna|Shiv Babudih|828303
Bokaro|Chandankiyari|Kali Kapur|Kalikapur|827013
Bokaro|Chandankiyari|Kanakchas|Kalikapur|828134
Bokaro|Chandankiyari|Kanchanpur|Laghla|N/A
Bokaro|Chandankiyari|Karadi|Amlabad|N/A
Bokaro|Chandankiyari|Karmatanr|Devgram|N/A
Bokaro|Chandankiyari|Kauria|Adita|828134
Bokaro|Chandankiyari|Kelyadag|Lanka|N/A
Bokaro|Chandankiyari|Kendulia|Mahal West|828134
Bokaro|Chandankiyari|Khedadi|Lanka|N/A
Bokaro|Chandankiyari|Kherabera|Kherabera|828134
Bokaro|Chandankiyari|Kulshara|Shiv Babudih|N/A
Bokaro|Chandankiyari|Kumirdoba|Kumirdoba|828134
Bokaro|Chandankiyari|Kurarya Alias Babaram|Chandankiyari|199.3 hectares
Bokaro|Chandankiyari|Kusumkiari|Kusumkiyari|828134
Bokaro|Chandankiyari|Laghla|Laghla|N/A
Bokaro|Chandankiyari|Lakshipur|Gamhariya|828134
Bokaro|Chandankiyari|Lalpur|Lalpur|N/A
Bokaro|Chandankiyari|Lanka|Lanka|N/A
Bokaro|Chandankiyari|Lututanr|Simuliya|828134
Bokaro|Chandankiyari|Machatanr|Nayawon|N/A
Bokaro|Chandankiyari|Mahal|Mahal West|828134
Bokaro|Chandankiyari|Manpur|Shiv Babudih|828303
Bokaro|Chandankiyari|Marra|Madra|N/A
Bokaro|Chandankiyari|Mazoorubi|Amainagar|828134
Bokaro|Chandankiyari|Mohanpur|Boriyadih|828134
Bokaro|Chandankiyari|Muktapur|Boriyadih|828134
Bokaro|Chandankiyari|Nadiha|Fusro|N/A
Bokaro|Chandankiyari|Naradi|Shiv Babudih|N/A
Bokaro|Chandankiyari|Narkarai|Polkiri|N/A
Bokaro|Chandankiyari|Nawadi|Devgram|N/A
Bokaro|Chandankiyari|Nayaban Alias Pabratanr|Nayawon|N/A
Bokaro|Chandankiyari|Nekura|Madra|N/A
Bokaro|Chandankiyari|Nerpurbanchak|Devgram|N/A
Bokaro|Chandankiyari|Nuniadi|Kusumkiyari|N/A
Bokaro|Chandankiyari|Palkiri|Polkiri|N/A
Bokaro|Chandankiyari|Palkudri|Amainagar|828134
Bokaro|Chandankiyari|Parbahal|Kherabera|828134
Bokaro|Chandankiyari|Parbatpur|Nayawon|N/A
Bokaro|Chandankiyari|Pathargarha|Shiv Babudih|N/A
Bokaro|Chandankiyari|Pathra|Lalpur|N/A
Bokaro|Chandankiyari|Phulbahra|Amainagar|N/A
Bokaro|Chandankiyari|Phusra|Fusro|N/A
Bokaro|Chandankiyari|Piparkudar|Damudih|N/A
Bokaro|Chandankiyari|Piprabera|Badajor|N/A
Bokaro|Chandankiyari|Polashdabar|Lanka|N/A
Bokaro|Chandankiyari|Rahinigara|Kherabera|828134
Bokaro|Chandankiyari|Rangametya|Simuliya|828134
Bokaro|Chandankiyari|Rangragara|Boriyadih|N/A
Bokaro|Chandankiyari|Ratanpur|Bagula|N/A
Bokaro|Chandankiyari|Sabna|Sabra|N/A
Bokaro|Chandankiyari|Saharjuri|Saharjori|828134
Bokaro|Chandankiyari|Sanrboa|Fusro|N/A
Bokaro|Chandankiyari|Shankhakunri|Kalikapur|827013
Bokaro|Chandankiyari|Sharishakuri|Adrakudi|N/A
Bokaro|Chandankiyari|Shibbabudi|Shiv Babudih|828303
Bokaro|Chandankiyari|Shimalkunri|Damudih|N/A
Bokaro|Chandankiyari|Silajuri|Siyaljori|N/A
Bokaro|Chandankiyari|Silphor|Silfor|N/A
Bokaro|Chandankiyari|Simulia|Simuliya|828134
Bokaro|Chandankiyari|Sitanala|Shiv Babudih|N/A
Bokaro|Chandankiyari|Surajyadi|Badajor|N/A
Bokaro|Chandankiyari|Sutribera|Kumirdoba|N/A
Bokaro|Chandankiyari|Talgaria|Silfor|N/A
Bokaro|Chandankiyari|Tekora|Madra|N/A
Bokaro|Chandankiyari|Tentulia|Siyaljori|N/A
Bokaro|Chandankiyari|Tilatanr|Silfor|N/A
Bokaro|Chandankiyari|Udaipur|Gamhariya|828134
Bokaro|Chandankiyari|Udalbani|Sabra|N/A
Bokaro|Chandankiyari|Uparbandha|Devgram|N/A
Bokaro|Chandrapura|Alargo|Alargo|N/A
Bokaro|Chandrapura|Bandhdih|Kurumba|825312
Bokaro|Chandrapura|Bandio|Bandio|825304
Bokaro|Chandrapura|Charri|Telo East|825304
Bokaro|Chandrapura|Chirudih|Turio|N/A
Bokaro|Chandrapura|Fatehpur|Bandio|825304
Bokaro|Chandrapura|Ghatiari|Ghatiyari|N/A
Bokaro|Chandrapura|Ghutuwai|Sijua|N/A
Bokaro|Chandrapura|Junori|Paplo|N/A
Bokaro|Chandrapura|Karidugedho|Sijua|828307
Bokaro|Chandrapura|Karmatanr|Karma Tand|828307
Bokaro|Chandrapura|Khalcho|Telo West|N/A
Bokaro|Chandrapura|Kurumba|Kurumba|828307
Bokaro|Chandrapura|Nasia|Bandio|829144
Bokaro|Chandrapura|Paplo|Paplo|N/A
Bokaro|Chandrapura|Pipradih|Narri|N/A
Bokaro|Chandrapura|Raja Bera|Turio|N/A
Bokaro|Chandrapura|Ratari|Kurumba|N/A
Bokaro|Chandrapura|Taranari Madhubani|Taranga|828403
Bokaro|Chandrapura|Taranga|Taranga|825304
Bokaro|Chandrapura|Turio|Turio|828307
Bokaro|Chas|Abra|Pindrajora|827013
Bokaro|Chas|Adamdi|Alkusha|827013
Bokaro|Chas|Alkusa|Alkusha|827013
Bokaro|Chas|Amadi|Sonabad|827013
Bokaro|Chas|Amdiha|Pokhanna|827013
Bokaro|Chas|Amuramu|Ulgora|827013
Bokaro|Chas|Andhartairya|Barpokhar|827013
Bokaro|Chas|Ashudi|Kumardhaga|828134
Bokaro|Chas|Babudi|Babudih|823134
Bokaro|Chas|Badhadi|Badhadih|827013
Bokaro|Chas|Bahadurpur|Sonabad|827013
Bokaro|Chas|Bamundanrika|Brahman Dawarika|N/A
Bokaro|Chas|Bandhdi|Chas|400.34 hectares
Bokaro|Chas|Bandhpur|Kalapathar|N/A
Bokaro|Chas|Bansa|Basgora East|827013
Bokaro|Chas|Baradi|Bhandro|827013
Bokaro|Chas|Barmasia|Mirdha|827013
Bokaro|Chas|Barpokharia|Barpokhar|827013
Bokaro|Chas|Baryadi|Sardaha|827013
Bokaro|Chas|Basantpur|Sardaha|827013
Bokaro|Chas|Belanja|Belunja|827013
Bokaro|Chas|Belut|Brahman Dawarika|827013
Bokaro|Chas|Berani|Pokhanna|827013
Bokaro|Chas|Bhabanidi Alias Phudanidi|Nawadih|827013
Bokaro|Chas|Bhagabandh|Chandaha|N/A
Bokaro|Chas|Bhanrro|Bhandro|827013
Bokaro|Chas|Bhunyadarika|Brahman Dawarika|N/A
Bokaro|Chas|Bijulia|Bijuliya|827013
Bokaro|Chas|Bishwanathdi|Bhandro|827013
Bokaro|Chas|Bodro|Alkusha|827013
Bokaro|Chas|Brindabanpur Alias Shatatanr|Chandaha|827013
Bokaro|Chas|Buribinora|Chandaha|827013
Bokaro|Chas|Chainpur|Chainpur|N/A
Bokaro|Chas|Chakalia|Chakuliya|827013
Bokaro|Chas|Chandaha|Chandaha|827013
Bokaro|Chas|Chhanrgoi|Mirdha|827013
Bokaro|Chas|Chiksia|Kalapathar|827013
Bokaro|Chas|Chitami|Chakuliya|N/A
Bokaro|Chas|Chopatanr|Turidih|827013
Bokaro|Chas|Chuatanr Alias Kapitanpur|Pindrajora|827013
Bokaro|Chas|Dabarbahal|Babudih|823134
Bokaro|Chas|Dabka|Bijuliya|827013
Bokaro|Chas|Demudi|Nawadih|827013
Bokaro|Chas|Dewanganj|Kura|N/A
Bokaro|Chas|Dhabni|Badhadih|827013
Bokaro|Chas|Dhandabar|Alkusha|827013
Bokaro|Chas|Dharampura|Chainpur|827013
Bokaro|Chas|Dudhigajar|Barpokhar|827013
Bokaro|Chas|Dumarda|Belunja|827013
Bokaro|Chas|Dumarjor|Nawadih|N/A
Bokaro|Chas|Durgapur|Kura|N/A
Bokaro|Chas|Gamdidi|Kalapathar|N/A
Bokaro|Chas|Ghatiali|Ghatiyali East|827013
Bokaro|Chas|Girdhartanr|Kashijariya|827013
Bokaro|Chas|Gopalpur|Gopalpur|N/A
Bokaro|Chas|Gopidi|Bijuliya|827013
Bokaro|Chas|Gurguri|Radhanagar|807013
Bokaro|Chas|Hutu Pathar|Madhuniya|827013
Bokaro|Chas|Janamdi|Sardaha|N/A
Bokaro|Chas|Jaytara|Pokhanna|827013
Bokaro|Chas|Jhapro|Chainpur|N/A
Bokaro|Chas|Jogidi Alias Raghunathdi|Kashijariya|827013
Bokaro|Chas|Kala Pather|Kalapathar|N/A
Bokaro|Chas|Kamaldi|Kamaldih|827013
Bokaro|Chas|Kanrra|Kandra|827013
Bokaro|Chas|Karmagora|Khamar Bendi|827013
Bokaro|Chas|Kashijharia|Kashijariya|827013
Bokaro|Chas|Kathwari|Ulgora|827013
Bokaro|Chas|Kelyadabar|Tupra|827013
Bokaro|Chas|Kendadi|Pindrajora|827013
Bokaro|Chas|Keshridi|Ulgora|827013
Bokaro|Chas|Khamarbandi|Khamar Bendi|827013
Bokaro|Chas|Khirabera|Gopalpur|827130
Bokaro|Chas|Khuntadi|Sardaha|827013
Bokaro|Chas|Kolbendi|Kolbendi|827013
Bokaro|Chas|Kumardaga|Kumardhaga|828134
Bokaro|Chas|Kumri|Kumhari|827013
Bokaro|Chas|Kunarpur|Badhadih|827013
Bokaro|Chas|Kura Alias Kuradi|Kura|827013
Bokaro|Chas|Kurma|Kashijariya|827013
Bokaro|Chas|Kushma|Barpokhar|827013
Bokaro|Chas|Leda|Mirdha|827013
Bokaro|Chas|Madhuria|Madhuniya|827013
Bokaro|Chas|Mamar Kudar|Kolbendi|827013
Bokaro|Chas|Middha|Mirdha|827013
Bokaro|Chas|Mohanpur|Kumardhaga|828134
Bokaro|Chas|Mohoda|Turidih|827013
Bokaro|Chas|Narayanpur|Narayanpur|827013
Bokaro|Chas|Nawadi|Nawadih|827013
Bokaro|Chas|Nishchintpur|Badhadih|827013
Bokaro|Chas|Padudi|Sardaha|827013
Bokaro|Chas|Paidadi|Sardaha|827013
Bokaro|Chas|Pailadi|Belunja|827013
Bokaro|Chas|Parsabera|Nawadih|827013
Bokaro|Chas|Partanr|Madhuniya|827013
Bokaro|Chas|Perajera|Pindrajora|827013
Bokaro|Chas|Pokhanna|Pokhanna|827013
Bokaro|Chas|Punrru|Pundru|828134
Bokaro|Chas|Pupunkighatbera|Pupunki|827013
Bokaro|Chas|Radhanagar|Radhanagar|827013
Bokaro|Chas|Raghunath Chak|Kolbendi|827013
Bokaro|Chas|Rahergora|Badhadih|827013
Bokaro|Chas|Ranichirka|Kumardhaga|828134
Bokaro|Chas|Raniganj Alias Chatitanr|Turidih|827013
Bokaro|Chas|Santaldi Alias Chak Mohanpu|Bijuliya|827013
Bokaro|Chas|Sardaha|Sardaha|827013
Bokaro|Chas|Satanpur|Satanpur|827013
Bokaro|Chas|Shiarda|Kamaldih|827013
Bokaro|Chas|Shilphor|Babudih|823134
Bokaro|Chas|Sialgajra|Kalapathar|827013
Bokaro|Chas|Sijhua|Mirdha|N/A
Bokaro|Chas|Simalaya|Gopalpur|827013
Bokaro|Chas|Sindurpeti|Bijuliya|827013
Bokaro|Chas|Sonabad|Sonabad|827013
Bokaro|Chas|Sunta|Sunta|807013
Bokaro|Chas|Telmatiya|Sardaha|827013
Bokaro|Chas|Tentulia|Satanpur|807013
Bokaro|Chas|Tiara|Kolbendi|N/A
Bokaro|Chas|Tughari|Bijuliya|827012
Bokaro|Chas|Tupra|Tupra|827013
Bokaro|Chas|Turidi|Turidih|827013
Bokaro|Chas|Ulgara|Ulgora|827013
Bokaro|Chas|Usardi|Ukrid|827013
Bokaro|Gumia|Aiyar|Lalpaniya|829149
Bokaro|Gumia|Ambadih|Tikahara|N/A
Bokaro|Gumia|Ambatanr|Badki Sidhawara|825315
Bokaro|Gumia|Ataundi|Badki Sidhawara|N/A
Bokaro|Gumia|Baghraiya|Pachmo|825325
Bokaro|Gumia|Baigankeri|Kari Khurd|N/A
Bokaro|Gumia|Balia|Hurlung|825312
Bokaro|Gumia|Banchatra|Lodhi|825315
Bokaro|Gumia|Bandiha|Chutte|N/A
Bokaro|Gumia|Baridari|Baridari|N/A
Bokaro|Gumia|Barka Murpa|Badki Sidhawara|N/A
Bokaro|Gumia|Barki Sidhabara|Badki Sidhawara|825315
Bokaro|Gumia|Barkichidri|Badki Chidri|825315
Bokaro|Gumia|Barkipunu|Barki Punu|829134
Bokaro|Gumia|Bartua|Lodhi|N/A
Bokaro|Gumia|Bendi|Badki Sidhawara|825315
Bokaro|Gumia|Bhitia|Badki Sidhawara|N/A
Bokaro|Gumia|Birsa|Tulbul|825315
Bokaro|Gumia|Chagri|Baridari|N/A
Bokaro|Gumia|Chatro Chati|Chatrochatti|825315
Bokaro|Gumia|Chhotki Sidhbara|Badki Sidhawara|825315
Bokaro|Gumia|Chidri Khurd|Badki Chidri|825315
Bokaro|Gumia|Chilga|Badki Chidri|825315
Bokaro|Gumia|Chipri|Chatrochatti|825315
Bokaro|Gumia|Chitu|Siyari|825315
Bokaro|Gumia|Chorganwa|Tikahara|N/A
Bokaro|Gumia|Chotakipunu|Barki Punu|N/A
Bokaro|Gumia|Chotka Murpa|Badki Sidhawara|N/A
Bokaro|Gumia|Chugnu|Baridari|825325
Bokaro|Gumia|Chute|Chutte|825315
Bokaro|Gumia|Dakasaram|Tilaiya|N/A
Bokaro|Gumia|Danea|Tilaiya|825325
Bokaro|Gumia|Danra|Chutte|N/A
Bokaro|Gumia|Daridag|Siyari|N/A
Bokaro|Gumia|Derhabera|Kander|829134
Bokaro|Gumia|Dhawaiya|Dhawaiya|829134
Bokaro|Gumia|Dhendhe|Hosir West|N/A
Bokaro|Gumia|Dhudhmo|Kari Khurd|825315
Bokaro|Gumia|Dumri|Siyari|N/A
Bokaro|Gumia|Gangpur|Mahua Tand|829134
Bokaro|Gumia|Gomi Karmatanr|Gumia|236.54 hectares
Bokaro|Gumia|Gopo|Dhawaiya|829134
Bokaro|Gumia|Gose|Siyari|825325
Bokaro|Gumia|Gurudih|Badki Sidhawara|825315
Bokaro|Gumia|Halwe|Tilaiya|N/A
Bokaro|Gumia|Haradgara|Dhawaiya|829134
Bokaro|Gumia|Hardiam|Tulbul|825315
Bokaro|Gumia|Honhe|Kander|825325
Bokaro|Gumia|Hurdag|Pachmo|N/A
Bokaro|Gumia|Hurlung|Hurlung|825312
Bokaro|Gumia|Jagesar|Kunda|825325
Bokaro|Gumia|Jaharlong|Kander|829134
Bokaro|Gumia|Jala|Kodwa Tand|N/A
Bokaro|Gumia|Jamni Jara|Pachmo|825325
Bokaro|Gumia|Jarea|Hurlung|N/A
Bokaro|Gumia|Jarkunda|Badki Chidri|825315
Bokaro|Gumia|Jhumchi|Siyari|N/A
Bokaro|Gumia|Jumrapahar|Pachmo|825325
Bokaro|Gumia|Kairatanr|Badki Sidhawara|825315
Bokaro|Gumia|Kander|Kander|825325
Bokaro|Gumia|Kari Kalan|Kari Khurd|N/A
Bokaro|Gumia|Kari Khurd|Kari Khurd|825315
Bokaro|Gumia|Karma|Badki Chidri|825315
Bokaro|Gumia|Katwari|Chatrochatti|825315
Bokaro|Gumia|Keri|Tikahara|N/A
Bokaro|Gumia|Khakhanda|Badki Sidhawara|N/A
Bokaro|Gumia|Kharna|Chutte|N/A
Bokaro|Gumia|Kharwatanr|Khamhara|N/A
Bokaro|Gumia|Khirabera|Lalpaniya|829149
Bokaro|Gumia|Khokhando|Kunda|828315
Bokaro|Gumia|Kodwatanralias Bhitugarha|Gumia|527.29 hectares
Bokaro|Gumia|Kunda|Kunda|N/A
Bokaro|Gumia|Kurknalo|Kari Khurd|825315
Bokaro|Gumia|Lalgarh|Tilaiya|N/A
Bokaro|Gumia|Lawalang|Kunda|N/A
Bokaro|Gumia|Lodhi|Lodhi|825315
Bokaro|Gumia|Lugu Pahar|Tilaiya|N/A
Bokaro|Gumia|Magha|Badki Chidri|825315
Bokaro|Gumia|Mahuatanr|Mahua Tand|829134
Bokaro|Gumia|Mangro|Chatrochatti|825315
Bokaro|Gumia|Morha|Tilaiya|N/A
Bokaro|Gumia|Mukhchuma|Badki Sidhawara|825315
Bokaro|Gumia|Murpa|Gumia|462.26 hectares
Bokaro|Gumia|Naran|Baridari|829134
Bokaro|Gumia|Narkandi|Hurlung|825312
Bokaro|Gumia|Nawadih|Badki Sidhawara|825313
Bokaro|Gumia|Nawdanda|Badki Chidri|825315
Bokaro|Gumia|Ocho|Siyari|825315
Bokaro|Gumia|Pachmo|Pachmo|825325
Bokaro|Gumia|Palu|Dhawaiya|N/A
Bokaro|Gumia|Pejuwa|Lodhi|825315
Bokaro|Gumia|Petko|Badki Chidri|N/A
Bokaro|Gumia|Pindra|Tulbul|825325
Bokaro|Gumia|Purnapani|Pachmo|825325
Bokaro|Gumia|Rahawan|Pachmo|825325
Bokaro|Gumia|Rajderwa|Chutte|N/A
Bokaro|Gumia|Rangamati|Baridari|N/A
Bokaro|Gumia|Rohidih|Tikahara|N/A
Bokaro|Gumia|Rola|Badki Sidhawara|825315
Bokaro|Gumia|Sawai|Chutte|N/A
Bokaro|Gumia|Seheda|Kunda|N/A
Bokaro|Gumia|Semarbera|Kander|829134
Bokaro|Gumia|Siari|Siyari|N/A
Bokaro|Gumia|Singpur|Badki Sidhawara|N/A
Bokaro|Gumia|Tikahara|Tikahara|N/A
Bokaro|Gumia|Tilaiya|Tilaiya|N/A
Bokaro|Gumia|Tirla|Baridari|825325
Bokaro|Gumia|Tiskopi|Chatrochatti|825315
Bokaro|Gumia|Tisri|Lodhi|825315
Bokaro|Gumia|Tithi|Badki Sidhawara|825315
Bokaro|Gumia|Tuiyo|Chutte|N/A
Bokaro|Gumia|Tulbul|Tulbul|N/A
Bokaro|Gumia|Tusko|Badki Sidhawara|825315
Bokaro|Gumia|Tutijharna|Tilaiya|N/A
Bokaro|Gumia|Uda|Siyari|N/A
Bokaro|Jaridih|Ara Saram|Araju|829301
Bokaro|Jaridih|Araju|Araju|829301
Bokaro|Jaridih|Araldih|Araldih|829301
Bokaro|Jaridih|Bahadurpur|Baradih|829144
Bokaro|Jaridih|Bakaspura|Baru|829301
Bokaro|Jaridih|Balrampur|Chilgadda|N/A
Bokaro|Jaridih|Banchas|Araldih|829301
Bokaro|Jaridih|Baradih|Baradih|N/A
Bokaro|Jaridih|Baramasia|Gangjori|829301
Bokaro|Jaridih|Beldih|Beldih|N/A
Bokaro|Jaridih|Bharu|Baru|829144
Bokaro|Jaridih|Bhaski|Bhaski|829301
Bokaro|Jaridih|Birsaram|Gangjori|829301
Bokaro|Jaridih|Chilgora|Chilgadda|829301
Bokaro|Jaridih|Gaichhana|Gaychhanda|N/A
Bokaro|Jaridih|Gangjori|Gangjori|829301
Bokaro|Jaridih|Ganjhandi|Araldih|829301
Bokaro|Jaridih|Garke|Chilgadda|N/A
Bokaro|Jaridih|Gopalpur|Chilgadda|N/A
Bokaro|Jaridih|Gopinath Pur|Bandhdih South|829301
Bokaro|Jaridih|Hanrhuro|Beldih|N/A
Bokaro|Jaridih|Haridih Hardi|Beldih|N/A
Bokaro|Jaridih|Jogidih|Bhaski|N/A
Bokaro|Jaridih|Kalyanpur|Baru|829301
Bokaro|Jaridih|Kamlapur|Araju|829301
Bokaro|Jaridih|Kenduadih|Khutri|N/A
Bokaro|Jaridih|Khutri|Khutri|N/A
Bokaro|Jaridih|Lipu|Bhaski|N/A
Bokaro|Jaridih|Pathria|Gaychhanda|829144
Bokaro|Jaridih|Pengikudar|Bhaski|N/A
Bokaro|Jaridih|Piro|Jaridih|378.34 hectares
Bokaro|Jaridih|Roria|Bhaski|N/A
Bokaro|Jaridih|Saraibinda|Beldih|N/A
Bokaro|Jaridih|Sundro|Beldih|N/A
Bokaro|Jaridih|Tanr Mohanpur|Tand Mohanpur|N/A
Bokaro|Jaridih|Tantri|Tatri South|829144
Bokaro|Jaridih|Thakurtanr|Khutri|829144
Bokaro|Jaridih|Tilaiya|Gangjori|829301
Bokaro|Jaridih|Torra|Gaychhanda|N/A
Bokaro|Kasmar|Ashtabera|Singhpur|N/A
Bokaro|Kasmar|Bagda|Bagda|829121
Bokaro|Kasmar|Bagiari|Tangtona|N/A
Bokaro|Kasmar|Barai Kalan|Barikala|N/A
Bokaro|Kasmar|Barai Khurd|Barikala|N/A
Bokaro|Kasmar|Basaria|Kharachatar|829115
Bokaro|Kasmar|Bemrotanr|Barikala|N/A
Bokaro|Kasmar|Bendotanr|Kasmar|829115
Bokaro|Kasmar|Bhawanipur|Bagda|829121
Bokaro|Kasmar|Bhursatanr|Murhul Sudi|N/A
Bokaro|Kasmar|Chainpur|Barikala|N/A
Bokaro|Kasmar|Chandipur|Madhukarpur|829115
Bokaro|Kasmar|Choli|Hisim|829115
Bokaro|Kasmar|Chora|Murhul Sudi|N/A
Bokaro|Kasmar|Dabhadih|Murhul Sudi|N/A
Bokaro|Kasmar|Dadhkia|Ponda|N/A
Bokaro|Kasmar|Dantu|Daatu|829121
Bokaro|Kasmar|Dumarkudar|Hisim|829115
Bokaro|Kasmar|Durgapur|Durgapur|829115
Bokaro|Kasmar|Garea Kudar|Kharachatar|829115
Bokaro|Kasmar|Garri|Garri|829121
Bokaro|Kasmar|Gomanjara|Hisim|N/A
Bokaro|Kasmar|Harnad|Singhpur|829115
Bokaro|Kasmar|Haslata|Daatu|829121
Bokaro|Kasmar|Hisim|Hisim|829115
Bokaro|Kasmar|Jamhar|Madhukarpur|829115
Bokaro|Kasmar|Jamkudar|Tangtona|N/A
Bokaro|Kasmar|Jharmunga|Manjura|N/A
Bokaro|Kasmar|Jumra|Murhul Sudi|N/A
Bokaro|Kasmar|Kadla|Hisim|N/A
Bokaro|Kasmar|Kairakudar|Murhul Sudi|N/A
Bokaro|Kasmar|Kamlapur|Ponda|N/A
Bokaro|Kasmar|Karkata Kalan|Barikala|N/A
Bokaro|Kasmar|Karkata Khur|Barikala|N/A
Bokaro|Kasmar|Karma|Singhpur|829115
Bokaro|Kasmar|Kasmar|Kasmar|829121
Bokaro|Kasmar|Khaira Chatar|Kharachatar|829115
Bokaro|Kasmar|Khudibera|Hisim|829115
Bokaro|Kasmar|Khuta|Sonpura|829121
Bokaro|Kasmar|Kotogara|Murhul Sudi|N/A
Bokaro|Kasmar|Kurko|Durgapur|N/A
Bokaro|Kasmar|Lodkiari|Bagda|N/A
Bokaro|Kasmar|Madhukar Pur|Madhukarpur|829115
Bokaro|Kasmar|Manjura|Manjura|829121
Bokaro|Kasmar|Mayapur|Madhukarpur|829115
Bokaro|Kasmar|Meramhara|Kharachatar|829115
Bokaro|Kasmar|Merha|Durgapur|N/A
Bokaro|Kasmar|Mochro|Ponda|N/A
Bokaro|Kasmar|Mungo|Bagda|N/A
Bokaro|Kasmar|Murhulsudi|Murhul Sudi|N/A
Bokaro|Kasmar|Nawadih|Tangtona|N/A
Bokaro|Kasmar|Ormo|Barikala|N/A
Bokaro|Kasmar|Pakribandh|Bagda|N/A
Bokaro|Kasmar|Pari|Murhul Sudi|N/A
Bokaro|Kasmar|Pipradih|Sonpura|829121
Bokaro|Kasmar|Pirgul|Murhul Sudi|829115
Bokaro|Kasmar|Ponra|Ponda|829121
Bokaro|Kasmar|Raghunathpur|Bagda|829121
Bokaro|Kasmar|Rangamati|Durgapur|N/A
Bokaro|Kasmar|Sarjudih|Kasmar|829115
Bokaro|Kasmar|Silisaram|Sonpura|829121
Bokaro|Kasmar|Singhpur|Singhpur|829115
Bokaro|Kasmar|Sonhar|Sonpura|829121
Bokaro|Kasmar|Sonpura|Sonpura|829121
Bokaro|Kasmar|Tangtona|Tangtona|829121
Bokaro|Kasmar|Telmunga|Garri|829121
Bokaro|Kasmar|Tirionala|Hisim|829115
Bokaro|Kasmar|Udaimara|Kharachatar|829115
Bokaro|Nawadih|Ahardih|Ahardih|829144
Bokaro|Nawadih|Amjhar|Bhalmara|N/A
Bokaro|Nawadih|Argamno|Kharpito|825102
Bokaro|Nawadih|Bansi|Pokriya|N/A
Bokaro|Nawadih|Baradih|Bhalmara|N/A
Bokaro|Nawadih|Barai|Barai|825102
